None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
31,25,25,23,24,23,23,-1,-1,-1,23
45,36,24,24,24,25,25,-1,-1,-1,24
24,21,19,19,19,19,19,-1,-1,-1,19
42,39,46,37,37,40,37,-1,-1,-1,22
40,37,22,22,22,22,22,-1,-1,-1,22
41,35,35,33,33,33,33,-1,-1,-1,33
36,35,34,29,29,29,29,-1,-1,-1,27
24,22,18,18,18,18,18,-1,-1,-1,18
25,19,20,20,20,20,20,-1,-1,-1,19
45,26,23,23,23,23,23,-1,-1,-1,23
-1,-1,28,27,28,27,27,-1,-1,-1,27
29,23,23,22,23,22,22,-1,-1,-1,22
36,32,27,27,27,27,27,-1,-1,-1,27
40,41,35,31,33,31,31,-1,-1,-1,30
48,43,32,31,31,31,31,-1,-1,-1,29
31,28,23,23,23,23,23,-1,-1,-1,20
46,32,28,19,19,19,19,-1,-1,-1,19
30,27,21,19,20,19,19,-1,-1,-1,19
24,22,22,22,22,22,22,-1,-1,-1,22
30,26,19,19,19,19,19,-1,-1,-1,19
52,44,21,21,21,21,21,-1,-1,-1,21
33,24,21,21,21,21,21,-1,-1,-1,21
28,22,22,21,21,21,21,-1,-1,-1,21
27,25,23,21,22,21,21,-1,-1,-1,21
38,32,31,31,31,31,31,-1,-1,-1,31
29,25,23,23,23,23,23,-1,-1,-1,23
32,34,20,20,20,20,20,-1,-1,-1,20
29,24,22,22,22,22,22,-1,-1,-1,22
21,19,18,18,18,18,18,-1,-1,-1,18
22,21,22,22,22,22,22,-1,-1,-1,21
30,29,29,20,20,20,20,-1,-1,-1,20
26,20,20,20,20,20,20,-1,-1,-1,20
24,21,18,18,18,18,18,-1,-1,-1,18
29,26,25,25,25,25,25,-1,-1,-1,25
35,34,31,27,31,27,27,-1,-1,-1,26
30,29,24,24,24,24,24,-1,-1,-1,24
27,23,20,20,20,20,20,-1,-1,-1,20
36,48,33,32,32,32,32,-1,-1,-1,32
29,29,22,22,22,22,22,-1,-1,-1,22
42,29,24,23,23,23,23,-1,-1,-1,23
26,21,20,20,20,20,20,-1,-1,-1,20
38,33,27,27,27,27,27,-1,-1,-1,27
47,33,24,24,24,24,24,-1,-1,-1,24
42,30,26,23,23,23,23,-1,-1,-1,23
33,28,30,29,30,29,29,-1,-1,-1,26
35,33,23,21,21,21,21,-1,-1,-1,21
35,19,19,19,19,19,19,-1,-1,-1,19
31,29,32,21,21,21,21,-1,-1,-1,21
47,46,34,34,34,34,34,-1,-1,-1,34
22,19,19,19,19,19,19,-1,-1,-1,19
48,43,39,37,37,37,37,-1,-1,-1,37
22,21,21,20,21,20,20,-1,-1,-1,20
34,31,30,24,24,24,24,-1,-1,-1,24
40,29,20,20,20,20,20,-1,-1,-1,20
27,24,26,24,24,24,24,-1,-1,-1,23
45,38,20,20,20,20,20,-1,-1,-1,20
30,24,27,24,25,24,24,-1,-1,-1,23
35,31,26,23,23,23,23,-1,-1,-1,23
23,21,19,19,19,19,19,-1,-1,-1,19
44,35,34,22,23,22,23,-1,-1,-1,21
32,27,26,22,22,22,22,-1,-1,-1,22
35,27,26,25,25,25,25,-1,-1,-1,24
52,41,31,28,31,28,28,-1,-1,-1,27
31,26,23,23,23,23,23,-1,-1,-1,23
27,22,18,18,18,18,18,-1,-1,-1,18
38,37,26,26,26,26,26,-1,-1,-1,26
20,21,21,21,21,21,21,-1,-1,-1,19
26,25,22,22,22,22,22,-1,-1,-1,22
32,31,22,22,22,22,22,-1,-1,-1,22
50,51,44,35,35,36,35,-1,-1,-1,28
55,36,57,22,22,22,22,-1,-1,-1,22
27,26,24,24,24,24,24,-1,-1,-1,20
35,34,20,20,20,20,20,-1,-1,-1,20
42,33,32,32,32,32,32,-1,-1,-1,32
45,34,20,20,20,20,20,-1,-1,-1,20
36,35,26,26,28,28,28,-1,-1,-1,26
40,38,28,24,24,24,24,-1,-1,-1,24
32,28,26,25,25,25,25,-1,-1,-1,25
37,21,19,19,19,19,19,-1,-1,-1,19
23,19,17,17,17,17,17,-1,-1,-1,17
41,34,29,28,28,29,28,-1,-1,-1,26
58,38,20,20,20,21,21,-1,-1,-1,20
36,28,24,24,24,24,24,-1,-1,-1,24
29,20,19,19,19,19,19,-1,-1,-1,19
22,20,21,21,21,21,21,-1,-1,-1,19
54,48,42,24,24,24,24,-1,-1,-1,24
28,24,23,23,23,23,23,-1,-1,-1,23
38,36,27,24,24,24,24,-1,-1,-1,22
33,29,21,21,21,21,21,-1,-1,-1,21
42,40,34,34,34,34,34,-1,-1,-1,34
31,24,22,21,22,21,21,-1,-1,-1,19
38,36,28,28,28,28,28,-1,-1,-1,28
25,19,19,19,19,19,19,-1,-1,-1,19
50,50,36,25,25,26,25,-1,-1,-1,25
34,26,22,22,22,22,22,-1,-1,-1,22
58,52,54,49,49,49,49,-1,-1,-1,49
29,22,22,22,22,22,22,-1,-1,-1,22
30,29,26,24,24,24,24,-1,-1,-1,24
35,32,24,22,24,22,22,-1,-1,-1,20
31,23,23,21,21,21,21,-1,-1,-1,21
25,26,18,18,18,18,18,-1,-1,-1,18
54,42,32,30,30,30,30,-1,-1,-1,30
46,47,29,28,29,28,28,-1,-1,-1,27
32,28,27,23,24,23,23,-1,-1,-1,23
49,48,28,28,28,32,32,-1,-1,-1,28
31,23,19,19,19,19,19,-1,-1,-1,19
55,36,37,27,27,27,27,-1,-1,-1,27
48,35,25,21,21,25,25,-1,-1,-1,21
46,30,29,29,29,29,29,-1,-1,-1,29
37,35,32,30,31,30,30,-1,-1,-1,30
57,45,37,36,36,37,37,-1,-1,-1,35
26,20,18,18,18,18,18,-1,-1,-1,18
40,29,27,27,27,27,27,-1,-1,-1,27
35,33,32,32,32,32,32,-1,-1,-1,32
37,30,30,26,26,26,26,-1,-1,-1,25
40,31,28,26,26,26,26,-1,-1,-1,26
