None,A,C,E+F+G,E+F,E+G,F+G,ignore,ignore,ignore,perfect
0.325000,0.351351,0.318182,0.318182,0.318182,0.318182,0.318182,-1.000000,-1.000000,-1.000000,0.318182
0.341463,0.342857,0.342857,0.363636,0.363636,0.363636,0.363636,-1.000000,-1.000000,-1.000000,0.363636
0.305556,0.314286,0.323529,0.344828,0.344828,0.344828,0.344828,-1.000000,-1.000000,-1.000000,0.370370
0.166667,0.181818,0.166667,0.166667,0.166667,0.166667,0.166667,-1.000000,-1.000000,-1.000000,0.166667
0.200000,0.157895,0.150000,0.150000,0.150000,0.150000,0.150000,-1.000000,-1.000000,-1.000000,0.157895
0.355556,0.269231,0.304348,0.304348,0.304348,0.304348,0.304348,-1.000000,-1.000000,-1.000000,0.304348
-1.000000,-1.000000,0.428571,0.407407,0.428571,0.407407,0.407407,-1.000000,-1.000000,-1.000000,0.407407
0.241379,0.260870,0.260870,0.272727,0.260870,0.272727,0.272727,-1.000000,-1.000000,-1.000000,0.272727
0.305556,0.312500,0.333333,0.333333,0.333333,0.333333,0.333333,-1.000000,-1.000000,-1.000000,0.333333
0.350000,0.341463,0.400000,0.419355,0.424242,0.419355,0.419355,-1.000000,-1.000000,-1.000000,0.433333
0.375000,0.418605,0.406250,0.419355,0.419355,0.419355,0.419355,-1.000000,-1.000000,-1.000000,0.448276
0.258065,0.250000,0.260870,0.260870,0.260870,0.260870,0.260870,-1.000000,-1.000000,-1.000000,0.250000
0.326087,0.312500,0.285714,0.263158,0.263158,0.263158,0.263158,-1.000000,-1.000000,-1.000000,0.263158
0.233333,0.222222,0.190476,0.210526,0.200000,0.210526,0.210526,-1.000000,-1.000000,-1.000000,0.210526
0.208333,0.227273,0.227273,0.227273,0.227273,0.227273,0.227273,-1.000000,-1.000000,-1.000000,0.227273
0.233333,0.230769,0.157895,0.157895,0.157895,0.157895,0.157895,-1.000000,-1.000000,-1.000000,0.157895
0.365385,0.386364,0.238095,0.238095,0.238095,0.238095,0.238095,-1.000000,-1.000000,-1.000000,0.238095
0.303030,0.208333,0.238095,0.238095,0.238095,0.238095,0.238095,-1.000000,-1.000000,-1.000000,0.238095
0.214286,0.181818,0.181818,0.190476,0.190476,0.190476,0.190476,-1.000000,-1.000000,-1.000000,0.190476
0.222222,0.240000,0.260870,0.285714,0.272727,0.285714,0.285714,-1.000000,-1.000000,-1.000000,0.285714
0.315789,0.343750,0.354839,0.354839,0.354839,0.354839,0.354839,-1.000000,-1.000000,-1.000000,0.354839
0.206897,0.200000,0.217391,0.217391,0.217391,0.217391,0.217391,-1.000000,-1.000000,-1.000000,0.217391
0.281250,0.264706,0.150000,0.150000,0.150000,0.150000,0.150000,-1.000000,-1.000000,-1.000000,0.150000
0.206897,0.208333,0.227273,0.227273,0.227273,0.227273,0.227273,-1.000000,-1.000000,-1.000000,0.227273
0.095238,0.105263,0.111111,0.111111,0.111111,0.111111,0.111111,-1.000000,-1.000000,-1.000000,0.111111
0.136364,0.142857,0.136364,0.136364,0.136364,0.136364,0.136364,-1.000000,-1.000000,-1.000000,0.142857
0.233333,0.241379,0.241379,0.300000,0.300000,0.300000,0.300000,-1.000000,-1.000000,-1.000000,0.300000
0.192308,0.150000,0.150000,0.150000,0.150000,0.150000,0.150000,-1.000000,-1.000000,-1.000000,0.150000
0.166667,0.190476,0.166667,0.166667,0.166667,0.166667,0.166667,-1.000000,-1.000000,-1.000000,0.166667
